# id	left	top	right	bottom	texture_id
[SPRITES]
1	0	0	17	17	40000
2	16	0	33	17	40000
3	32	0	49	17	40000
4	48	0	65	17	40000
5	64	0	81	17	40000
6	80	0	97	17	40000
7	96	0	113	17	40000
8	112	0	130	17	40000
9	128	0	145	17	40000
10	144	0	161	17	40000
11	160	0	177	17	40000
12	0	16	17	33	40000
13	16	16	33	33	40000
14	32	16	49	33	40000
15	48	16	65	33	40000
16	64	16	81	33	40000
17	80	16	97	33	40000
18	96	16	113	33	40000
19	112	16	129	33	40000
20	128	16	145	33	40000
21	144	16	161	33	40000
22	160	16	177	33	40000
23	0	32	17	49	40000
24	16	32	33	49	40000
25	32	32	49	49	40000
26	48	32	65	49	40000
27	64	32	81	49	40000
28	80	32	97	49	40000
29	96	32	113	49	40000
30	112	32	129	49	40000
31	128	32	145	49	40000
32	144	32	161	49	40000
33	160	32	177	49	40000
34	0	48	17	65	40000
35	16	48	33	65	40000
36	32	48	49	65	40000
37	48	48	65	65	40000
38	64	48	81	65	40000
39	80	48	97	65	40000
40	96	48	113	65	40000
41	112	48	129	65	40000
42	128	48	145	65	40000
43	144	48	161	65	40000
44	160	48	177	65	40000
45	0	64	17	81	40000
46	16	64	33	81	40000
47	32	64	49	81	40000
48	48	64	65	81	40000
49	64	64	81	81	40000
50	80	64	97	81	40000
51	96	64	113	81	40000
52	112	64	129	81	40000
53	128	64	145	81	40000
54	144	64	161	81	40000
55	160	64	177	81	40000
56	0	80	17	97	40000
57	16	80	33	97	40000
58	32	80	49	97	40000
59	48	80	65	97	40000
60	64	80	81	97	40000
61	80	80	97	97	40000
62	96	80	113	97	40000
63	112	80	129	97	40000
64	128	80	145	97	40000
65	144	80	161	97	40000
66	160	80	177	97	40000
67	0	96	17	113	40000
68	16	96	33	113	40000
69	32	96	49	113	40000
70	48	96	65	113	40000
71	64	96	81	113	40000
72	80	96	97	113	40000
73	96	96	113	113	40000
74	112	96	129	113	40000
75	128	96	145	113	40000
76	144	96	161	113	40000
77	160	96	177	113	40000
78	0	112	17	129	40000
79	16	112	33	129	40000
80	32	112	49	129	40000
81	48	112	65	129	40000
82	64	112	81	129	40000
83	80	112	97	129	40000
84	96	112	113	129	40000
85	112	112	129	129	40000
86	128	112	145	129	40000
87	144	112	161	129	40000
88	160	112	177	129	40000
89	0	128	17	145	40000
90	16	128	33	145	40000
91	32	128	49	145	40000
92	48	128	65	145	40000
93	64	128	81	145	40000
94	80	128	97	145	40000
95	96	128	113	145	40000
96	112	128	129	145	40000
97	128	128	145	145	40000
98	144	128	161	145	40000
99	160	128	177	145	40000
100	0	144	17	161	40000
101	16	144	33	161	40000
102	32	144	49	161	40000
103	48	144	65	161	40000
104	64	144	81	161	40000
105	80	144	97	161	40000
106	96	144	113	161	40000
